datetime,open,high,low,close
2017.6.1,12.2711,12.8903,12.095,12.1212
2017.6.2,12.886,13.4362,12.7458,12.9022
2017.6.5,13.4592,13.4594,12.3717,12.4569
2017.6.6,12.5563,12.8867,12.2556,12.4844
2017.6.7,12.7274,13.952,12.5687,13.8251
2017.6.8,13.941,14.3808,13.8061,14.2278
2017.6.9,14.3855,15.5669,14.3518,15.0922
2017.6.12,15.5822,16.3258,15.2388,15.4469
2017.6.13,15.6048,15.7607,15.0869,15.0869
2017.6.14,15.3311,15.4407,14.2408,14.4919
2017.6.15,14.7006,14.7394,13.7625,13.8954
2017.6.16,13.9953,14.0916,13.2605,13.2809
2017.6.19,13.8028,13.8617,13.252,13.6909
2017.6.20,13.8976,14.2807,13.8278,13.9881
2017.6.21,14.2071,14.478,13.305,13.3657
2017.6.22,13.3677,14.8001,13.0705,13.6138
2017.6.23,13.7797,14.04,13.3481,13.9033
2017.6.26,15.0562,15.7156,15.0479,15.3767
2017.6.27,15.6374,15.6525,14.7943,14.8559
2017.6.28,15.1019,15.2609,14.9114,15.0408
2017.6.29,14.9423,15.1563,14.4669,14.4679
2017.6.30,14.6486,14.8415,14.3387,14.4046
2017.7.3,14.8631,14.9046,14.0519,14.0748
2017.7.4,14.2029,14.2449,13.2948,13.2969
2017.7.5,13.466,14.2956,13.3156,14.2224
2017.7.6,14.3739,14.5075,13.6782,13.8219
2017.7.7,13.9191,14.1079,13.851,13.8786
2017.7.10,14.3484,14.4013,13.8643,13.8971
2017.7.11,14.4853,14.5866,13.6803,13.7269
2017.7.12,13.8351,14.8629,13.8059,14.7766
2017.7.13,14.9499,15.085,14.6267,14.7823
2017.7.14,15.9741,16.2437,15.6186,15.7619
2017.7.17,16.6717,17.8821,16.1188,17.3459
2017.7.18,17.5947,18.0858,16.9139,16.9209
2017.7.19,17.1841,17.4476,16.2996,16.9889
2017.7.20,17.2473,20.306,17.1363,17.2003
2017.7.21,17.3823,17.7589,16.0757,16.1539
2017.7.24,16.8982,16.8985,15.5722,15.7097
2017.7.25,16.0153,16.3859,15.359,15.3821
2017.7.26,15.5696,15.9636,15.3602,15.933
2017.7.27,16.08,16.5119,15.8633,15.8786
2017.7.28,16.0234,16.3098,15.5202,15.5693
2017.7.31,16.1894,16.259,15.6288,15.7472
2017.8.1,15.8535,15.9293,15.0451,15.063
2017.8.2,15.2767,15.8621,14.7627,14.8226
2017.8.3,15.6418,16.8061,15.1967,15.2681
2017.8.4,15.3845,15.6762,14.9223,14.9441
2017.8.7,15.6049,15.6676,15.236,15.3747
2017.8.8,15.507,15.6751,14.9934,14.9936
2017.8.9,15.1694,15.324,14.2541,14.2543
2017.8.10,14.4407,14.5004,13.5342,13.6841
2017.8.11,14.0209,14.8049,13.8664,14.6045
2017.8.14,15.2599,15.3566,14.0231,14.2698
2017.8.15,14.4341,14.4344,13.993,14.0033
2017.8.16,14.1785,14.4538,13.8007,13.9183
2017.8.17,14.0093,14.0343,13.6352,13.6937
2017.8.18,14.1756,14.618,13.4175,13.4611
2017.8.21,13.9144,14.0985,13.09,13.0964
2017.8.22,13.2646,14.8478,12.4073,12.4566
2017.8.23,12.5738,13.4062,12.5738,13.1068
2017.8.24,13.2367,13.2947,12.7406,12.7809
2017.8.25,12.9749,14.8545,12.7043,13.8306
2017.8.28,14.5712,15.6417,14.1163,14.3247
2017.8.29,15.0883,18.4181,14.7126,14.9414
2017.8.30,14.9831,15.1905,14.6565,14.6678
2017.8.31,14.808,15.0211,14.5578,14.5854
2017.9.1,14.8908,14.9528,14.4964,14.4964
2017.9.4,15.014,15.1885,14.8112,15.0096
2017.9.5,15.2063,15.3497,14.9439,14.9858
2017.9.6,15.1785,15.302,14.8779,15.2205
2017.9.7,15.3725,15.4214,14.6923,14.7068
2017.9.8,14.9431,14.9454,14.4054,14.4603
2017.9.11,14.9944,15.23,14.7754,15.1054
2017.9.12,15.3725,15.5036,15.0832,15.1725
2017.9.13,15.3104,15.5516,15.2032,15.3057
2017.9.14,15.4625,15.5013,13.9475,14.0614
2017.9.15,14.2978,14.3379,13.6074,13.6167
2017.9.18,14.204,14.3767,13.5072,13.7042
2017.9.19,13.918,13.9459,12.9317,12.9431
2017.9.20,13.1312,13.1806,12.8008,12.8106
2017.9.21,13.0066,13.2029,12.5359,12.7534
2017.9.22,12.8959,13.0715,12.5781,12.5881
2017.9.25,13.0264,13.3227,12.7975,12.8247
2017.9.26,13.0282,13.1367,12.5363,12.7333
2017.9.27,12.8936,13.0887,12.2219,12.3133
2017.9.28,12.1607,12.2033,10.531,10.5312
2017.9.29,10.7208,11.1529,10.6701,11.1195
2017.10.9,13.5589,14.2176,11.4705,11.5841
2017.10.10,11.775,12.0377,11.5068,11.6434
2017.10.11,11.7688,11.9201,10.8644,11.0582
2017.10.12,11.188,11.3348,10.6015,10.681
2017.10.13,10.8416,10.9204,10.5995,10.6648
2017.10.16,11.057,11.1321,10.3889,10.5521
2017.10.17,11.1654,11.1656,10.574,10.6622
2017.10.18,10.6735,10.8206,10.2113,10.2603
2017.10.19,10.2422,10.5386,10.1915,10.4619
2017.10.20,10.6773,10.7199,10.1633,10.4566
2017.10.23,10.959,10.9641,10.28,10.3253
2017.10.24,10.5784,11.7266,10.5511,11.5942
2017.10.25,11.7308,12.1544,11.2514,11.3523
2017.10.26,11.5805,11.7381,11.1165,11.1568
2017.10.27,11.6695,12.046,10.6137,10.7163
2017.10.30,11.2719,11.7209,11.1887,11.5949
2017.10.31,11.7228,11.8405,10.8536,10.9312
2017.11.1,11.0856,11.1145,10.5355,10.6228
2017.11.2,10.8223,10.9219,10.4993,10.5701
2017.11.3,10.6883,10.8233,10.3778,10.4148
2017.11.6,10.8908,11.0501,10.517,10.6659
2017.11.7,10.7942,12.8311,10.3007,10.411
2017.11.8,10.7997,11.2508,10.7197,10.761
2017.11.9,10.8826,11.2005,10.8613,10.8631
2017.11.10,11.1326,11.7796,11.0638,11.4307
2017.11.13,11.8234,12.9064,11.4955,11.5236
2017.11.14,12.6473,12.897,12.2121,12.2121
2017.11.15,12.2679,12.582,12.258,12.3081
2017.11.16,12.3151,12.5101,11.9869,12.0279
2017.11.17,12.1446,12.8587,12.1446,12.6476
2017.11.20,13.3591,14.6896,13.3591,14.5608
2017.11.21,14.4994,16.1803,14.4994,14.5363
2017.11.22,14.8287,17.3863,14.5202,15.3584
2017.11.23,16.0367,16.5445,14.9223,16.1017
2017.11.24,16.413,17.1357,16.2615,16.9154
2017.11.27,17.6738,18.5018,17.6072,18.0222
2017.11.28,15.0433,15.6827,14.873,15.0555
2017.11.29,15.4043,16.3813,15.0035,15.6815
2017.11.30,15.8315,16.8715,15.5549,16.8045
2017.12.1,17.0913,18.2983,16.9807,17.9901
2017.12.4,18.6466,18.9684,15.9432,16.0269
2017.12.5,16.2441,16.2444,14.2782,15.327
2017.12.6,15.4732,17.2768,15.4591,16.2383
2017.12.7,16.3695,17.1824,15.6956,15.7504
2017.12.8,15.8719,16.5416,14.9775,15.0268
2017.12.11,15.6773,15.879,14.6314,14.6837
