date,exchange,FG,ZC,TA,PM,CF,WH,SR,RI,OI,MA,JR,RM,LR,SM,SF,WS,WT,RO,ER,ME,GN,RS,TC,CY,AP,al,fu,cu,zn,pb,bu,sn,ni,ru,au,ag,rb,hc,wr,sc,IF,TF,T,IC,IH,TS,p,v,jd,l,pp,fb,bb,i,j,jm,c,a,b,m,y,cs,s
2012-12-03,CZCE,FG1303,,TA1305,PM1301,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-04,CZCE,FG1305,,TA1305,PM1301,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-05,CZCE,FG1305,,TA1305,PM1301,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-06,CZCE,FG1305,,TA1305,PM1305,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-07,CZCE,FG1305,,TA1305,PM1305,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-10,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-11,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-12,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-13,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-14,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-17,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-18,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-19,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-20,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-21,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-24,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-25,CZCE,FG1305,,TA1305,PM1309,CF1305,WH1309,SR1305,RI1309,OI1309,,,,,,,WS1305,,RO1305,ER1305,ME1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
