"成交时间","市场名称","合约代码","合约名称","买卖","开平","成交价格","成交数量","委托价格","委托数量","成交金额","合约类别","备兑","委托号","委托时间","成交号","备注",
"14:51:05","上海股票期权","10001704","50ETF沽2月2750","买","平仓","0.0194","18","--","--","3492.00","认沽","非备兑","775","--","819221","买入",
"14:51:05","上海股票期权","10001704","50ETF沽2月2750","买","平仓","0.0194","12","--","--","2328.00","认沽","非备兑","775","--","819220","买入",
"14:49:53","上海股票期权","10001704","50ETF沽2月2750","卖","开仓","0.0268","1","--","--","268.00","认沽","非备兑","768","--","816001","卖出",
"14:49:52","上海股票期权","10001704","50ETF沽2月2750","卖","开仓","0.0268","29","--","--","7772.00","认沽","非备兑","768","--","815954","卖出",
"14:45:30","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0513","10","--","--","5130.00","认购","非备兑","742","--","804411","买入",
"14:21:07","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0491","10","--","--","4910.00","认购","非备兑","646","--","725125","卖出",
"14:19:57","上海股票期权","10001705","50ETF购3月2750","买","开仓","0.0853","1","--","--","853.00","认购","非备兑","640","--","719234","买入",
"14:19:57","上海股票期权","10001705","50ETF购3月2750","买","开仓","0.0853","9","--","--","7677.00","认购","非备兑","640","--","719213","买入",
"14:18:59","上海股票期权","10001705","50ETF购3月2750","买","开仓","0.0899","10","--","--","8990.00","认购","非备兑","630","--","714110","买入",
"14:16:48","上海股票期权","10001705","50ETF购3月2750","买","开仓","0.0962","10","--","--","9620.00","认购","非备兑","620","--","704731","买入",
"14:03:17","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0601","1","--","--","601.00","认购","非备兑","603","--","678484","买入",
"14:03:16","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0601","2","--","--","1202.00","认购","非备兑","603","--","678477","买入",
"14:03:16","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0601","6","--","--","3606.00","认购","非备兑","603","--","678456","买入",
"14:03:15","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0601","1","--","--","601.00","认购","非备兑","603","--","678448","买入",
"14:03:15","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0601","10","--","--","6010.00","认购","非备兑","603","--","678438","买入",
"13:55:27","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0495","8","--","--","3960.00","认沽","非备兑","595","--","657698","买入",
"13:55:27","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0495","10","--","--","4950.00","认沽","非备兑","595","--","657691","买入",
"13:55:26","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0494","2","--","--","988.00","认沽","非备兑","595","--","657597","买入",
