成交日期,成交时间,交易所,合约编码,合约名称,买卖,开平,成交价格,成交数量,成交金额,备兑,成交编码,备注,
2019-02-25,14:32:19,上海股票期权,10001674,50ETF沽2月2550,卖出,开仓,0.0015,20,300.000,非备兑,1098162,卖出开仓,
2019-02-25,14:31:50,上海股票期权,10001674,50ETF沽2月2550,卖出,开仓,0.0016,20,320.000,非备兑,1094011,卖出开仓,
2019-02-25,14:27:26,上海股票期权,10001664,50ETF沽2月2500,卖出,开仓,0.0010,30,300.000,非备兑,1057767,卖出开仓,
2019-02-25,14:27:13,上海股票期权,10001664,50ETF沽2月2500,卖出,开仓,0.0010,30,300.000,非备兑,1056705,卖出开仓,
2019-02-25,14:16:08,上海股票期权,10001705,50ETF购3月2750,卖出,平仓,0.0952,2,1904.000,非备兑,987496,卖出平仓,
2019-02-25,14:11:49,上海股票期权,10001705,50ETF购3月2750,卖出,平仓,0.0878,3,2634.000,非备兑,956059,卖出平仓,
2019-02-25,14:00:36,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.0770,5,3850.000,非备兑,906912,买入开仓,
2019-02-25,13:07:59,上海股票期权,10001619,50ETF购3月2700,卖出,平仓,0.0929,5,4645.000,非备兑,672594,卖出平仓,
2019-02-25,13:06:17,上海股票期权,10001705,50ETF购3月2750,买入,平仓,0.0673,5,3364.000,非备兑,663289,买入平仓,
2019-02-25,11:10:59,上海股票期权,10001619,50ETF购3月2700,买入,开仓,0.0709,5,3545.000,非备兑,572918,买入开仓,
2019-02-25,10:47:50,上海股票期权,10001705,50ETF购3月2750,卖出,开仓,0.0434,5,2170.000,非备兑,506888,卖出开仓,
2019-02-25,10:10:33,上海股票期权,10001705,50ETF购3月2750,买入,平仓,0.0499,5,2495.000,非备兑,353736,买入平仓,
2019-02-25,09:55:19,上海股票期权,10001586,50ETF购3月2600,卖出,平仓,0.1151,5,5755.000,非备兑,256556,卖出平仓,
2019-02-25,09:48:40,上海股票期权,10001705,50ETF购3月2750,买入,平仓,0.0527,5,2635.000,非备兑,197844,买入平仓,
2019-02-25,09:43:41,上海股票期权,10001586,50ETF购3月2600,卖出,平仓,0.1298,5,6488.000,非备兑,144053,卖出平仓,
2019-02-25,09:41:33,上海股票期权,10001586,50ETF购3月2600,买入,开仓,0.1280,10,12800.000,非备兑,121322,买入开仓,
2019-02-25,09:37:42,上海股票期权,10001705,50ETF购3月2750,卖出,开仓,0.0372,10,3720.000,非备兑,85992,卖出开仓,
2019-02-25,09:30:49,上海股票期权,10001586,50ETF购3月2600,卖出,平仓,0.1050,2,2100.000,非备兑,16859,卖出平仓,
2019-02-25,09:30:29,上海股票期权,10001699,50ETF购2月2700,买入,平仓,0.0108,20,2150.000,非备兑,13010,买入平仓,
2019-02-25,09:26:54,上海股票期权,10001663,50ETF沽2月2450,买入,平仓,0.0004,20,80.000,非备兑,242533,买入平仓,
2019-02-26,19:13:06,上海股票期权,10001700,50ETF沽2月2700,其他,,0.0000,9,0.000,非备兑,,合约对冲,
2019-02-26,19:13:06,上海股票期权,10001700,50ETF沽2月2700,其他,,0.0000,9,0.000,非备兑,,合约对冲,
2019-02-26,14:49:28,上海股票期权,10001596,50ETF沽3月2650,卖出,开仓,0.0585,5,2925.000,非备兑,1079772,卖出开仓,
2019-02-26,14:48:59,上海股票期权,10001596,50ETF沽3月2650,卖出,开仓,0.0583,10,5830.000,非备兑,1076933,卖出开仓,
2019-02-26,14:48:27,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0796,15,11940.000,非备兑,1073904,买入平仓,
2019-02-26,14:40:28,上海股票期权,10001700,50ETF沽2月2700,买入,平仓,0.0085,9,765.000,非备兑,1043059,买入平仓,
2019-02-26,14:39:48,上海股票期权,10001700,50ETF沽2月2700,买入,开仓,0.0086,9,774.000,非备兑,1040875,买入开仓,
2019-02-26,14:04:13,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0019,10,190.000,非备兑,906423,卖出开仓,
2019-02-26,14:04:05,上海股票期权,10001696,50ETF沽2月2650,卖出,开仓,0.0017,12,204.000,非备兑,904263,卖出开仓,
2019-02-26,14:02:39,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0021,30,630.000,非备兑,900328,卖出开仓,
2019-02-26,14:02:29,上海股票期权,10001696,50ETF沽2月2650,卖出,开仓,0.0020,28,560.000,非备兑,900209,卖出开仓,
2019-02-26,14:01:09,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0021,10,210.000,非备兑,896033,卖出开仓,
2019-02-26,14:01:09,上海股票期权,10001696,50ETF沽2月2650,卖出,开仓,0.0023,10,230.000,非备兑,896030,卖出开仓,
2019-02-26,13:41:19,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0707,5,3535.000,非备兑,823780,卖出开仓,
2019-02-26,13:36:20,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0768,5,3840.000,非备兑,805091,卖出开仓,
2019-02-26,13:35:53,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0773,4,3092.000,非备兑,803866,卖出开仓,
2019-02-26,13:35:34,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0764,1,764.000,非备兑,802244,卖出开仓,
2019-02-26,13:24:03,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0005,30,150.000,非备兑,774521,买入平仓,
2019-02-26,13:24:03,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0005,30,150.000,非备兑,774136,买入平仓,
2019-02-26,13:24:03,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0005,30,150.000,非备兑,773968,买入平仓,
2019-02-26,13:19:38,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0667,5,3336.000,非备兑,740957,卖出开仓,
2019-02-26,13:19:16,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0668,10,6681.000,非备兑,739021,卖出开仓,
2019-02-26,13:09:41,上海股票期权,10001700,50ETF沽2月2700,买入,平仓,0.0074,18,1332.000,非备兑,705102,买入平仓,
2019-02-26,11:30:19,上海股票期权,10001674,50ETF沽2月2550,买入,平仓,0.0005,10,50.000,非备兑,694475,买入平仓,
2019-02-26,11:30:19,上海股票期权,10001674,50ETF沽2月2550,买入,平仓,0.0005,30,150.000,非备兑,693201,买入平仓,
2019-02-26,11:15:08,上海股票期权,10001719,50ETF购2月2850,卖出,开仓,0.0047,12,564.000,非备兑,628185,卖出开仓,
2019-02-26,11:12:12,上海股票期权,10001719,50ETF购2月2850,卖出,开仓,0.0052,2,104.000,非备兑,619334,卖出开仓,
2019-02-26,11:12:05,上海股票期权,10001719,50ETF购2月2850,卖出,开仓,0.0054,10,540.000,非备兑,619066,卖出开仓,
2019-02-26,11:05:17,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0076,18,1360.000,非备兑,594363,卖出开仓,
2019-02-26,10:50:04,上海股票期权,10001720,50ETF购2月2900,买入,平仓,0.0034,30,1010.000,非备兑,537073,买入平仓,
2019-02-26,10:48:44,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0134,18,2412.000,非备兑,530196,卖出开仓,
2019-02-26,10:27:51,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0834,15,12510.000,非备兑,414416,买入平仓,
2019-02-26,10:25:35,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0790,15,11850.000,非备兑,392372,买入平仓,
2019-02-26,10:23:24,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0074,15,1110.000,非备兑,380027,卖出开仓,
2019-02-26,09:59:45,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0712,3,2136.000,非备兑,273874,卖出开仓,
2019-02-26,09:59:35,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0718,9,6462.000,非备兑,272816,卖出开仓,
2019-02-26,09:59:23,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0723,3,2169.000,非备兑,271202,卖出开仓,
2019-02-26,09:49:49,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0071,15,1065.000,非备兑,212583,卖出开仓,
2019-02-26,09:41:24,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0686,15,10297.000,非备兑,125458,卖出开仓,
