"成交时间","市场名称","合约代码","合约名称","买卖","开平","成交价格","成交数量","委托价格","委托数量","成交金额","合约类别","备兑","委托号","委托时间","成交号","备注",
"14:51:01","上海股票期权","10001704","50ETF沽2月2750","买","平仓","0.0200","6","--","--","1200.000","认沽","非备兑","1490002887","--","819031","交易委托-",
"14:51:01","上海股票期权","10001704","50ETF沽2月2750","买","平仓","0.0200","9","--","--","1800.000","认沽","非备兑","1490002887","--","819018","交易委托-",
"14:49:50","上海股票期权","10001704","50ETF沽2月2750","卖","开仓","0.0268","15","--","--","4020.000","认沽","非备兑","1490002868","--","815896","交易委托-",
"14:45:29","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0512","3","--","--","1536.000","认购","非备兑","1490002779","--","804363","交易委托-",
"14:21:11","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0491","3","--","--","1473.000","认购","非备兑","1490002266","--","725626","交易委托-",
"14:03:31","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0588","3","--","--","1764.000","认购","非备兑","1490002091","--","679315","交易委托-",
"14:03:11","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0600","7","--","--","4200.000","认购","非备兑","1490002086","--","678261","交易委托-",
"14:03:11","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0600","1","--","--","600.000","认购","非备兑","1490002086","--","678260","交易委托-",
"13:54:53","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0500","5","--","--","2500.000","认沽","非备兑","1490001989","--","655589","交易委托-",
"13:46:15","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0590","3","--","--","1770.000","认购","非备兑","1490001905","--","625182","交易委托-",
"13:46:15","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0590","2","--","--","1180.000","认购","非备兑","1490001905","--","625181","交易委托-",
"13:44:41","上海股票期权","10001704","50ETF沽2月2750","买","平仓","0.0119","5","--","--","595.000","认沽","非备兑","1490001877","--","617346","交易委托-",
"13:42:30","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0594","2","--","--","1188.000","认购","非备兑","1490001849","--","605542","交易委托-",
"13:30:31","上海股票期权","10001619","50ETF购3月2700","买","开仓","0.1503","2","--","--","3006.000","认购","非备兑","1490001748","--","549042","交易委托-",
"13:23:34","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0651","4","--","--","2604.000","认购","非备兑","1490001693","--","520586","交易委托-",
"13:21:00","上海股票期权","10001711","50ETF购2月2800","买","平仓","0.0033","15","--","--","495.000","认购","非备兑","1490001668","--","511398","交易委托-",
"13:20:45","上海股票期权","10001700","50ETF沽2月2700","买","平仓","0.0005","5","--","--","25.000","认沽","非备兑","1490001665","--","510375","交易委托-",
"13:20:45","上海股票期权","10001700","50ETF沽2月2700","买","平仓","0.0005","10","--","--","50.000","认沽","非备兑","1490001665","--","510331","交易委托-",
"13:12:01","上海股票期权","10001704","50ETF沽2月2750","卖","开仓","0.0067","4","--","--","268.000","认沽","非备兑","1490001566","--","475313","交易委托-",
"13:11:33","上海股票期权","10001704","50ETF沽2月2750","卖","开仓","0.0065","1","--","--","65.000","认沽","非备兑","1490001564","--","473534","交易委托-",
"11:15:14","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0667","1","--","--","667.000","认购","非备兑","1490001351","--","405712","交易委托-",
"11:15:14","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0667","4","--","--","2668.000","认购","非备兑","1490001351","--","405711","交易委托-",
"11:05:38","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0638","4","--","--","2552.000","认购","非备兑","1490001270","--","373422","交易委托-",
"10:56:27","上海股票期权","10001711","50ETF购2月2800","卖","开仓","0.0022","4","--","--","88.000","认购","非备兑","1490001196","--","347317","交易委托-",
"10:56:14","上海股票期权","10001700","50ETF沽2月2700","卖","开仓","0.0030","3","--","--","90.000","认沽","非备兑","1490001194","--","346812","交易委托-",
"10:56:14","上海股票期权","10001700","50ETF沽2月2700","卖","开仓","0.0030","1","--","--","30.000","认沽","非备兑","1490001194","--","346811","交易委托-",
"10:55:55","上海股票期权","10001711","50ETF购2月2800","卖","开仓","0.0022","2","--","--","44.000","认购","非备兑","1490001193","--","345951","交易委托-",
"10:55:55","上海股票期权","10001711","50ETF购2月2800","卖","开仓","0.0022","8","--","--","176.000","认购","非备兑","1490001193","--","345950","交易委托-",
"10:55:47","上海股票期权","10001700","50ETF沽2月2700","卖","开仓","0.0028","7","--","--","196.000","认沽","非备兑","1490001191","--","345647","交易委托-",
"10:55:47","上海股票期权","10001700","50ETF沽2月2700","卖","开仓","0.0029","3","--","--","87.000","认沽","非备兑","1490001191","--","345646","交易委托-",
"10:55:02","上海股票期权","10001711","50ETF购2月2800","卖","开仓","0.0021","1","--","--","21.000","认购","非备兑","1490001189","--","343810","交易委托-",
"10:55:02","上海股票期权","10001700","50ETF沽2月2700","卖","开仓","0.0027","1","--","--","27.000","认沽","非备兑","1490001188","--","343792","交易委托-",
"10:42:34","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0652","4","--","--","2608.000","认购","非备兑","1490001083","--","319671","交易委托-",
"10:42:28","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0652","1","--","--","652.000","认购","非备兑","1490001080","--","319485","交易委托-",
"10:41:04","上海股票期权","10001719","50ETF购2月2850","买","平仓","0.0007","6","--","--","42.000","认购","非备兑","1490001062","--","316182","交易委托-",
"10:40:56","上海股票期权","10001719","50ETF购2月2850","买","平仓","0.0007","10","--","--","70.000","认购","非备兑","1490001062","--","315891","交易委托-",
"10:40:46","上海股票期权","10001719","50ETF购2月2850","买","平仓","0.0007","8","--","--","56.000","认购","非备兑","1490001062","--","315440","交易委托-",
"10:36:43","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0506","1","--","--","506.000","认沽","非备兑","1490001034","--","301085","交易委托-",
"10:36:43","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0506","1","--","--","506.000","认沽","非备兑","1490001034","--","301083","交易委托-",
"10:36:43","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0506","1","--","--","506.000","认沽","非备兑","1490001034","--","301082","交易委托-",
"10:36:43","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0506","1","--","--","506.000","认沽","非备兑","1490001034","--","301065","交易委托-",
"10:36:42","上海股票期权","10001596","50ETF沽3月2650","买","平仓","0.0506","1","--","--","506.000","认沽","非备兑","1490001034","--","301053","交易委托-",
"10:33:57","上海股票期权","10001696","50ETF沽2月2650","买","平仓","0.0004","16","--","--","64.000","认沽","非备兑","1490001006","--","295224","交易委托-",
"10:33:57","上海股票期权","10001696","50ETF沽2月2650","买","平仓","0.0004","4","--","--","16.000","认沽","非备兑","1490001006","--","295223","交易委托-",
"10:33:57","上海股票期权","10001696","50ETF沽2月2650","买","平仓","0.0004","26","--","--","104.000","认沽","非备兑","1490001005","--","295222","交易委托-",
"10:33:57","上海股票期权","10001696","50ETF沽2月2650","买","平仓","0.0004","4","--","--","16.000","认沽","非备兑","1490001005","--","295221","交易委托-",
"10:30:59","上海股票期权","10001720","50ETF购2月2900","买","平仓","0.0003","16","--","--","48.000","认购","非备兑","1490000986","--","288240","交易委托-",
"10:30:59","上海股票期权","10001720","50ETF购2月2900","买","平仓","0.0003","4","--","--","12.000","认购","非备兑","1490000986","--","288239","交易委托-",
"10:30:59","上海股票期权","10001720","50ETF购2月2900","买","平仓","0.0003","16","--","--","48.000","认购","非备兑","1490000985","--","288224","交易委托-",
"10:30:59","上海股票期权","10001720","50ETF购2月2900","买","平仓","0.0003","14","--","--","42.000","认购","非备兑","1490000985","--","288223","交易委托-",
"10:20:18","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0580","1","--","--","580.000","认购","非备兑","1490000874","--","259622","交易委托-",
"10:16:56","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0560","2","--","--","1120.000","认购","非备兑","1490000815","--","245561","交易委托-",
"10:16:56","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0560","5","--","--","2800.000","认购","非备兑","1490000815","--","245560","交易委托-",
"10:07:16","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0618","6","--","--","3708.000","认购","非备兑","1490000708","--","209612","交易委托-",
"10:06:49","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0615","1","--","--","615.000","认购","非备兑","1490000696","--","207626","交易委托-",
"10:02:18","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0642","3","--","--","1926.000","认购","非备兑","1490000612","--","186374","交易委托-",
"09:52:31","上海股票期权","10001619","50ETF购3月2700","买","开仓","0.1398","3","--","--","4194.000","认购","非备兑","1490000499","--","143658","交易委托-",
"09:48:14","上海股票期权","10001727","50ETF购3月2850","卖","开仓","0.0708","1","--","--","708.000","认购","非备兑","1490000430","--","118544","交易委托-",
"09:48:13","上海股票期权","10001619","50ETF购3月2700","买","开仓","0.1423","1","--","--","1423.000","认购","非备兑","1490000429","--","118512","交易委托-",
"09:36:20","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0646","7","--","--","4522.000","认购","非备兑","1490000200","--","45189","交易委托-",
"09:33:13","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0664","6","--","--","3984.000","认购","非备兑","1490000127","--","24633","交易委托-",
"09:33:13","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0660","1","--","--","660.000","认购","非备兑","1490000127","--","24632","交易委托-",
"09:33:13","上海股票期权","10001727","50ETF购3月2850","买","平仓","0.0660","1","--","--","660.000","认购","非备兑","1490000127","--","24631","交易委托-",
